14.31,62.95,22.74,4
16,63.13,20.87,0
17.99,62.96,19.05,0
20.21,62.53,17.25,0
22.74,61.49,15.77,0
25.8,60.18,14.02,0
28.32,58.99,12.69,0
31.57,57.7,11.4,0
34.22,55.56,10.22,6
37.27,53.68,9.05,6
40.51,51.46,8.04,2
42.73,50.08,7.19,2
45.1,48.3,6.6,2
48.78,46,5.85,2
51.18,43.48,5.34,5
55.11,40.06,4.84,5
57.39,37.5,4.5,5
60.91,34.87,4.22,5
10.47,57.16,32.37,4
11.08,58.74,30.18,4
12.08,59.57,28.35,4
13.38,60.56,26.06,4
14.72,61.02,24.26,4
16.68,61.07,22.25,0
18.68,60.96,20.36,0
21.18,60.28,18.54,0
23.6,59.61,16.8,0
26.72,58.19,15.09,0
29.33,57.12,13.55,0
32.61,55.23,12.16,0
35.76,53.45,10.79,6
39.41,51.02,9.57,2
41.55,50.17,8.28,2
43.71,48.69,7.6,2
46.73,46.56,6.71,2
49.78,44.2,6.01,5
54.04,40.68,5.28,5
57.23,37.94,4.83,5
60.18,35.42,4.4,5
63.11,32.79,4.11,5
65.71,30.41,3.88,5
10.81,52.77,36.42,0
11.82,54.38,33.8,4
12.85,55.5,31.66,4
14.5,56.07,29.43,0
15.96,56.92,27.12,4
18.23,56.84,24.93,0
20.67,56.75,22.58,0
23.39,55.99,20.62,0
26.09,55.32,18.6,0
29.13,54.37,16.51,0
32.44,52.87,14.7,0
35.58,51.4,13.02,0
39.15,49.35,11.5,7
41.81,48.24,9.96,2
44.02,47.18,8.79,2
46.85,45.31,7.84,2
50.11,42.87,7.01,5
54.22,39.66,6.12,5
57.25,37.34,5.41,5
60.24,34.87,4.89,5
63.12,32.34,4.53,5
65.54,30.23,4.22,5
67.6,28.38,4.02,5
10.29,47.13,42.57,0
11.1,48.94,39.97,0
12.32,49.95,37.72,0
13.45,51.28,35.26,0
15.31,51.77,32.92,0
17.47,52.02,30.51,0
19.7,52.39,27.91,0
22.22,52.67,25.11,0
25.14,52.27,22.59,0
28.26,51.53,20.2,0
31.51,50.42,18.06,0
34.86,49.1,16.04,0
38.22,47.72,14.06,0
41.55,46.12,12.33,7
43.66,45.54,10.8,7
46.56,43.92,9.52,5
49.81,42,8.19,5
54.06,38.66,7.29,5
57.06,36.6,6.35,5
60.29,34.06,5.65,5
62.74,32.2,5.06,5
65.41,29.85,4.74,5
67.19,28.3,4.51,5
68.98,26.86,4.16,5
71.11,24.93,3.95,5
10.54,42.97,46.48,0
11.55,44.53,43.92,0
12.72,45.94,41.34,0
14.27,47.34,38.39,0
16.21,48.06,35.73,0
18.39,48.13,33.49,0
21.33,48.1,30.57,0
24.22,48.13,27.65,0
27.03,48.3,24.67,0
30.32,47.77,21.91,0
34.07,46.52,19.41,0
37.73,45.24,17.03,0
41.58,43.28,15.14,0
43.47,43.39,13.14,7
46.72,41.9,11.39,7
49.92,40.13,9.95,5
53.16,38.02,8.82,5
57.13,35.27,7.6,5
60.01,33.31,6.68,5
62.89,31.08,6.03,5
65.43,29.08,5.49,5
67.01,27.95,5.04,5
69.22,26.09,4.7,5
70.98,24.74,4.29,5
73.36,22.6,4.04,5
10.08,36.82,53.1,0
11.07,38.72,50.21,0
12.16,40.33,47.51,0
13.52,41.75,44.73,0
15.09,43,41.9,0
17.2,43.81,38.99,0
19.66,43.97,36.37,0
22.74,43.72,33.54,0
26.04,43.58,30.38,0
29.03,43.94,27.04,0
32.45,43.69,23.86,0
35.93,42.85,21.21,0
40.01,41.95,18.04,0
42.88,40.97,16.15,0
45.75,39.85,14.4,7
49.34,38.29,12.37,5
52.86,36.36,10.78,5
56.36,34.26,9.37,5
59.77,32.22,8.01,5
62.64,30.13,7.23,5
65.02,28.6,6.38,5
66.82,27.29,5.89,5
68.87,25.78,5.35,5
70.87,24.25,4.88,5
73.46,22.12,4.42,5
75.09,20.73,4.18,5
9.74,33.18,57.08,0
10.74,35.12,54.15,0
